"year","months","MaximumTemperature","MinimumTemperature","PalmerDroughtSeverityIndexPDSI","Precipitation","AverageTemperature","state"
"2016","April-June",33.06,10.78,-0.996666666666667,3.65333333333333,21.93,"Georgia"
"2016","July-September",34.56,18.89,-2.83666666666667,3.41333333333333,27.02,"Georgia"
"2016","October-December",27.33,5.33,-3.91333333333333,2.67333333333333,15.17,"Georgia"
"2017","January-March",21.61,5.67,-3.19333333333333,3.97333333333333,13.28,"Georgia"
"2017","April-June",30,12.56,-0.576666666666667,5.23333333333333,22.13,"Georgia"
"2017","July-September",32.5,17.28,1.26666666666667,4.81666666666667,25.56,"Georgia"
"2017","October-December",25.83,4.17,0.0633333333333333,2.57666666666667,14.2,"Georgia"
"2018","January-March",20.83,-0.67,-1.44,3.55333333333333,11.15,"Georgia"
"2018","April-June",32.22,8.56,0.786666666666667,5.29666666666667,21.78,"Georgia"
"2018","July-September",32.22,20.89,1.3,4.85,26.56,"Georgia"
"2018","October-December",26.39,4.94,2.35333333333333,6.56666666666667,14.04,"Georgia"
"2019","January-March",20.22,3.22,0.586666666666667,3.71666666666667,11.96,"Georgia"
"2019","April-June",31.56,10.94,-1.49666666666667,4.06,22.67,"Georgia"
"2019","July-September",33.33,19,-2.52666666666667,3.11666666666667,26.81,"Georgia"
"2019","October-December",27.11,4.78,0.81,5.07,14.59,"Georgia"
"2020","January-March",23.28,5.06,1.95333333333333,6.35333333333333,13.04,"Georgia"
"2020","April-June",30.72,10.06,2.59,4.84,21,"Georgia"
"2020","July-September",33.33,18.44,1.74333333333333,5.78,25.96,"Georgia"
"2020","October-December",26.22,1.17,2.09666666666667,3.18,14.69,"Georgia"
"2021","January-March",22.39,3,1.68333333333333,5.02666666666667,11.31,"Georgia"
"2021","April-June",30.61,9.11,1.18666666666667,4.22333333333333,20.83,"Georgia"
"2021","July-September",31.83,17.28,2.82666666666667,6.52333333333333,25.37,"Georgia"
"2021","October-December",25.61,3.94,1.09,3.27333333333333,14.89,"Georgia"
"2022","January-March",22.39,1.33,-0.71,4.04,11.41,"Georgia"
"2022","April-June",33.33,9.56,-1.30333333333333,3.34,22.3,"Georgia"
"2015","January-March",11.94,-6.28,-1.89,1.81,1.61,"Idaho"
"2015","April-June",26.67,-1.44,-2.65,1.63,11.63,"Idaho"
"2015","July-September",27.44,5.83,-2.61333333333333,1.14666666666667,17.06,"Idaho"
"2015","October-December",17,-8.28,-2.30666666666667,2.92,1.65,"Idaho"
"2016","January-March",8.11,-7.56,-1.47666666666667,2.63,-0.24,"Idaho"
"2016","April-June",24.67,1.22,-1.68333333333333,1.55333333333333,11.63,"Idaho"
"2016","July-September",27.39,5.28,-1.70666666666667,0.896666666666667,16.31,"Idaho"
"2016","October-December",13,-11.83,1.51,3.21333333333333,1.39,"Idaho"
"2017","January-March",8.78,-12.33,2.78,4.12666666666667,-1.76,"Idaho"
"2017","April-June",22.89,-1.22,0.99,2.08,10,"Idaho"
"2017","July-September",30.22,5.78,-1.40333333333333,0.923333333333333,17.89,"Idaho"
"2017","October-December",12.17,-8.39,-0.91,2.48,1.11,"Idaho"
"2018","January-March",6.5,-8.11,-0.723333333333333,2.62,-1.06,"Idaho"
"2018","April-June",21.78,-0.61,-0.203333333333333,2.21666666666667,10.76,"Idaho"
"2018","July-September",29.39,4.78,-1.42666666666667,0.27,17.33,"Idaho"
"2018","October-December",13,-8.56,-1.88666666666667,2.18666666666667,0.8,"Idaho"
"2019","January-March",6.61,-9.28,-0.0433333333333334,2.8,-2.61,"Idaho"
"2019","April-June",21.67,0.33,0.883333333333333,2.37333333333333,9.98,"Idaho"
"2019","July-September",27.67,5.78,-0.27,1.07666666666667,16.76,"Idaho"
"2019","October-December",9.28,-6.78,-0.586666666666667,1.55333333333333,0.28,"Idaho"
"2020","January-March",7.56,-9.06,-1.33666666666667,2.69666666666667,-1.37,"Idaho"
"2020","April-June",20.44,-1.83,-0.186666666666667,2.29333333333333,9.7,"Idaho"
"2020","July-September",28.33,5.89,-0.0433333333333334,0.453333333333333,17.54,"Idaho"
"2020","October-December",14.67,-8.17,-1.32666666666667,1.95333333333333,1.54,"Idaho"
"2021","January-March",8.28,-8.33,-2.02333333333333,2.19333333333333,-1.72,"Idaho"
"2021","April-June",27.11,-1.83,-3.18333333333333,0.93,11.26,"Idaho"
"2021","July-September",31.06,5.22,-4.71333333333333,0.876666666666667,17.94,"Idaho"
"2021","October-December",13.17,-7.06,-3.36666666666667,2.97666666666667,2.3,"Idaho"
"2022","January-March",8.28,-10.11,-3.31666666666667,1.55,-2.13,"Idaho"
"2022","April-June",21.39,-3.67,-1.94,2.55,8.19,"Idaho"
"2015","January-March",9.39,-12.33,1.99333333333333,1.76,-2.33,"Illinois"
"2015","April-June",27.22,5.72,2,6.08,17.57,"Illinois"
"2015","July-September",28.67,14.89,3.54,3.88333333333333,22.31,"Illinois"
"2015","October-December",19.72,1.06,3.39333333333333,4.54333333333333,8.83,"Illinois"
