"","Year","Period","State","State.ANSI","colony_added","colony_max","colony_cd_loss","colony_loss","colony_loss_pct","Disesases","Other","Pesticides","Pests.excl.Varroa.mites","Unknown","Varroa.mites","colony_reno_pct"
"166",2021,"JAN THRU MAR","NEW YORK",36,"2,600","30,000","1,800","4,900","16","0.6","5.7","0.5","3.9","4.8","15","1"
"167",2021,"JAN THRU MAR","NORTH CAROLINA",37,"1,900","24,000","70","4,000","17","(Z)","0.6","(Z)","7.2","0.5","23.5","(Z)"
"168",2021,"JAN THRU MAR","NORTH DAKOTA",38,"2,700","65,000","8,500","180","(Z)","1","1.5","(Z)","0.5","(Z)","12","0"
"169",2021,"JAN THRU MAR","OHIO",39,"120","17,500","180","4,000","23","2.9","8.2","2","14.4","4.9","26.6","(Z)"
"170",2021,"JAN THRU MAR","OKLAHOMA",40,"4,100","28,000","1,100","2,600","9","0","4.2","(Z)","(Z)","2","7.6","1"
"171",2021,"JAN THRU MAR","OREGON",41,"1,600","80,000","4,500","3,100","4","1.4","1.2","0","10.7","0.6","12.8","1"
"172",2021,"JAN THRU MAR","OTHER STATES",NA,"750","6,640",NA,"540","8","4.1","6.6","(Z)","1.2","1.1","19.4","1"
"173",2021,"JAN THRU MAR","PENNSYLVANIA",42,"1,100","24,000","1,900","5,500","23","(Z)","6.8","0","11.6","8.6","18.1","(Z)"
"174",2021,"JAN THRU MAR","SOUTH CAROLINA",45,"930","18,000","160","1,200","7","(Z)","4.1","3.2","10.1","0.9","48.5","1"
"175",2021,"JAN THRU MAR","SOUTH DAKOTA",46,"0","34,000","2,100","450","1","0","(Z)","(Z)","0","0.8","8.6","0"
"176",2021,"JAN THRU MAR","TENNESSEE",47,"460","13,500","830","2,200","16","1.4","2.6","0.8","5.2","8.9","34.4","2"
"177",2021,"JAN THRU MAR","TEXAS",48,"61,000","355,000","5,000","30,000","8","1.5","7.4","5.8","13","(Z)","17.7","4"
"178",2021,"JAN THRU MAR","UTAH",49,"2,700","19,500","230","2,600","13","0","1","2.4","0.9","6.3","45.4","0"
"179",2021,"JAN THRU MAR","VERMONT",50,"700","7,500","140","1,300","17","3.7","10.1","0","(Z)","(Z)","21.1","1"
"180",2021,"JAN THRU MAR","VIRGINIA",51,"1,800","7,500","840","1,400","19","0","3.9","1.9","1","4.9","11.9","1"
"181",2021,"JAN THRU MAR","WASHINGTON",53,"9,500","70,000","1,500","5,500","8","1","4.5","(Z)","2.3","(Z)","14.8","1"
"182",2021,"JAN THRU MAR","WEST VIRGINIA",54,"200","9,000","480","1,200","13","0.7","1.2","2.6","3.3","3.1","13.6","5"
"183",2021,"JAN THRU MAR","WISCONSIN",55,"230","44,000","1,700","2,500","6","(Z)","3.6","0","(Z)","3.2","16.1","(Z)"
"184",2021,"JAN THRU MAR","WYOMING",56,"3,000","14,500","530","2,200","15","(Z)","3.3","0","(Z)","7.9","8.4","8"
